Idle Racing GO: Clicker Tycoon,Jan 2019,"Overall user reviews:
Mixed
						(516 reviews)","Racing, Casual, Simulation, Clicker, Early Access, Idler, Free to Play"
Clicker Heroes: Boxy & Bloop Auto Clicker,"3 Mar, 2017","Overall user reviews:
6 user reviews","Free to Play, RPG, Casual, Simulation, Indie, Strategy, Adventure, Clicker"
Wild West Saga: Idle Tycoon Clicker,"18 Dec, 2018","Overall user reviews:
Mixed
						(703 reviews)","Clicker, Idler, Free to Play, Casual, Simulation, Indie, Western, Management, Strategy, Capitalism, 2D, Family Friendly, Great Soundtrack, Early Access, Comedy, Exploration, Funny, Real-Time, America, Adventure"
Christmas Clicker: Idle Gift Builder,"15 Dec, 2018","Overall user reviews:
Mixed
						(54 reviews)","Casual, Free to Play, Indie, Strategy, Clicker"
Bash the Teacher! - Classroom Clicker,"13 Jan, 2022","Overall user reviews:
Mixed
						(24 reviews)","Casual, Clicker, Idler, Funny, Simulation, Cartoon, Cute, Collectathon, Hand-drawn, Arcade, Life Sim, 2D, Cartoony, Colorful, First-Person, Education, Singleplayer, Indie"
Retro Clicker,"29 Apr, 2021","Overall user reviews:
6 user reviews","Clicker, Indie, Rhythm, Demons, Medieval, Action, Retro, Singleplayer"
Communist Clicker,"10 Feb, 2022","Overall user reviews:
6 user reviews","Casual, Clicker, Cold War, Sandbox, Strategy, Simulation, Hand-drawn, Arcade, Interactive Fiction, Point & Click, Tabletop, Idler, Side Scroller, 2D, Cartoon, 1980s, 1990's, Colorful, 3D, Cartoony"
Clicker Planet,"10 Apr, 2018","Overall user reviews:
3 user reviews","City Builder, Casual, Clicker, Base Building, Building, Management, Point & Click, 2D, Procedural Generation, Puzzle, Minimalist, Crafting, Adventure, Resource Management, Singleplayer, Indie, Action"
Slime Age: Parody MMORPG Clicker,"22 Aug, 2018","Overall user reviews:
Mixed
						(10 reviews)","Casual, Simulation, Anime, Cute"
Author Clicker,"14 Mar, 2019","Overall user reviews:
9 user reviews","Indie, Casual, Sexual Content, Clicker, Visual Novel"
Incel Clicker,"3 Nov, 2018","Overall user reviews:
8 user reviews","Clicker, Casual, Indie, Memes, Great Soundtrack, 2D, Pixel Graphics, Funny, Character Customization, Choices Matter, Singleplayer"
Cat Clicker,"24 Nov, 2021","Overall user reviews:
8 user reviews","Casual, Funny, Cats, Stylized, Memes, Clicker, Cute, Arcade, Singleplayer, Indie, On-Rails Shooter, 2D, Demons, Linear"
Clicker Age,"13 Jan, 2020","Overall user reviews:
5 user reviews","Indie, Action, Adventure, Strategy, Difficult, Clicker"
Fruit Clicker,"17 Sep, 2020",None,"Casual, Clicker, Singleplayer, Colorful, 2D, Economy, Agriculture, Early Access, Indie, Family Friendly, Minimalist"
Kingdom of Assetia: The Clicker Game,"25 Jan, 2022","Overall user reviews:
Mixed
						(10 reviews)","Casual, City Builder, Clicker, Idler, 3D, Stylized, Fantasy, Linear, Indie, Singleplayer"
Blush Blush,"22 Apr, 2020","Overall user reviews:
Very Positive
						(5,052 reviews)","Sexual Content, Free to Play, LGBTQ+, Dating Sim, Nudity, Anime, Clicker, Romance, Hentai, Otome, Casual, Cute, Simulation, Mature, Indie, Funny, Singleplayer, Visual Novel, Early Access, Resource Management"
东方夜雀食堂,2021 年 10 月 1 日,"总体用户评测：
好评如潮
						(5,936 篇评测)","休闲, 像素图形, 角色扮演, 信仰, 模拟, 喜剧, 时间管理, 农场模拟, 日系角色扮演, 文字游戏, 2D 平台, 动漫, 2D, 点击游戏, 卡通, 彩色, 第一人称, 90 年代, 剧情, 老式"
Firestone Idle RPG,"26 Sep, 2019","Overall user reviews:
Very Positive
						(4,150 reviews)","Strategy, Action, Free to Play, Casual, Simulation, RPG, Adventure, Indie, Early Access, Survival, Card Game, Fantasy, MMORPG, Co-op, Online Co-Op, 2D, Multiplayer, Clicker, Combat, Dragons"
Achievement Clicker - Soundtrack,"17 Nov, 2017","Overall user reviews:
7 user reviews","Indie, Simulation"
Weedcraft Inc,"11 Apr, 2019","Overall user reviews:
Very Positive
						(1,133 reviews)","Simulation, Strategy, Indie, Management, Medical Sim, Singleplayer, Casual, Clicker, Crafting, Great Soundtrack, Comedy, Realistic, Crime"
Defense Clicker - Auto Clicker Pet (Ice Elemental),"8 Nov, 2017","Overall user reviews:
7 user reviews","Strategy, Casual"
NGU IDLE,"1 Oct, 2019","Overall user reviews:
Overwhelmingly Positive
						(8,582 reviews)","Free to Play, Indie, Idler, Adventure, Clicker, Simulation, Funny, RPG, Singleplayer, Casual, Psychological Horror, Story Rich"
Space Colonizers Idle Clicker,"31 May, 2018","Overall user reviews:
Mostly Negative
						(21 reviews)","Indie, Strategy, Casual, Simulation, Space Sim, Clicker, 2D, Flight, Idler, Cartoon, First-Person, Futuristic, Space, Relaxing, Sci-fi, Singleplayer, Aliens, Exploration, Spaceships, Retro"
Trump VS Covid: Save The World Clicker,"5 Jan, 2021","Overall user reviews:
Mixed
						(14 reviews)","Clicker, Simulation, Idler, Outbreak Sim, Strategy, Political Sim, Management, Politics, America, Capitalism, Economy, Dark Humor, Experimental, Grand Strategy, 2D, Cartoony, Pixel Graphics, 2.5D, Stylized, Modern"
Football Academy Clicker,"19 Aug, 2021","Overall user reviews:
2 user reviews","Simulation, Clicker, Casual, Soccer, Football, 2D, Singleplayer, Indie, Sports"
Clicker bAdventure,"27 Dec, 2017","Overall user reviews:
7 user reviews","Indie, Action, Adventure, Clicker"
420 Button Clicker,"14 Feb, 2019","Overall user reviews:
1 user reviews","Indie, Casual, Clicker"
Delivery Company Clicker,"25 May, 2021","Overall user reviews:
1 user reviews","Point & Click, Casual, Singleplayer, Cute, Simulation, 2D Platformer, 1990's, 1980s, Loot, Linear, Indie, Dinosaurs, Dragons, Score Attack"
Abst Clicker Farm,"11 Feb, 2020","Overall user reviews:
4 user reviews","Casual, Indie, Simulation, Family Friendly, Strategy"
Dallen Clicker Ultimate,"17 Sep, 2020","Overall user reviews:
6 user reviews","Casual, Clicker, Singleplayer, Collectathon, Idler, Arcade, 2D, Text-Based, Comic Book, Funny, Indie, Action, Cartoony, Comedy, Cartoon"
Orb of Creation,"31 Mar, 2022","Overall user reviews:
Very Positive
						(372 reviews)","Casual, Strategy, Magic, Puzzle, Clicker, Minimalist, Resource Management, Idler, Indie, Early Access, Mystery, Singleplayer, Crafting"
